исходная форма,глоссированная форма,частотность,глосса,лемма,POS,3,976
a,a,3,а,a,CCONJ,,
arə,a-rə,2,знать-cvb.neg,adaj,VERB,,
abgar,abgar,2,здоровый,abgar,ADJ,,
abla,abla,2,глупый,abla,ADJ,,
ač,ač,31,neg,eč,PART,,
ač-ta,ač=ta,2,neg=add,eč,PART,,
ačča,ačča,22,neg.pred,ečče,PART,,
"ad,snmw",adə-w,2,сколько-acc,adi,ADV,,
adəwuč,adə=wuč,2,сколько=indef,adi,ADV,,
aďin,aďin,2,первенец,ad'in,NOUN,,
adun,adun,2,иногда,adun,ADV,,
agdagal,agda-gal,3,старший.брат-pl,agda,NOUN,,
ai,ai,4,хороший,aj,ADJ,,
aič,ai-č,6,хороший-ins,aič,ADV,,
aj,aj,13,хороший,aj,ADJ,,
ajďinne,aj-ďi-nne,2,хорошо-fut-2sg,ajdaj,VERB,,
aju,aj-u,2,хороший-acc,aj,ADJ,,
ajďit,ajďit,5,правда,ajd'it,NOUN,,
ajďitta,ajďit=ta,8,правда=add,ajd'it,NOUN,,
aka,aka,7,отец,aka,NOUN,,
akuwriďi,akuw-riďi,2,ошалеть-ant.sg,akuwdaj,VERB,,
alačiddən,alači-d-də-n,2,ждать-prog-pst-3sg,alattaj,VERB,,
alačidai,alači-da-i,2,ждать-purp-poss.refl.sg,alattaj,VERB,,
aləŋoča-mu,aləŋo-ča-mu,2,дочь-dim2-poss.1sg,alaŋo,NOUN,,
allaďin,allaďin,2,аккуратно,allaďin,ADV,,
amanun,ama-nun,2,отец-com,ama,NOUN,,
amanne,amanne,3,дедушка,amanna,NOUN,,
amardalan,amar-dala-n,3,равнина-loc-poss.3sg,amar,NOUN,,
amaski,amaski,2,обратно,amaski,ADV,,
ammida,ammi=da,2,отец=add,ama,NOUN,,
amnak,amnak,11,быстро,amnak,ADV,,
amnəq,amnəq,4,скоро,amnak,ADV,,
amŋai,amŋa-i,2,рот-poss.refl.sg,amŋa,NOUN,,
amun,amun,2,метка,amun,NOUN,,
ančindulan,ančin-dula-n,15,около-loc-poss.3sg,ančin,ADP,,
ančindulatən,ančin-dula-tən,2,около-loc-poss.3pl,ančin,ADP,,
anin,anin,2,дым,anin,NOUN,,
ara,ara,5,дружище2,ara,NOUN,,
aran,aran,11,едва,aran,ADV,,
arankič,aran-kič,2,едва-elat,aran,ADV,,
arčan,arčan-∅-∅,2,выходить.на.встречу-nfut-3pl,arčandaj,VERB,,
arčanətən,arčanə-tən,2,встреча-poss.3pl,arčan,NOUN,,
ašal,aša-l,5,женщина-pl,asa,NOUN,,
asatkan,asatkan,5,девушка,asatkan,NOUN,,
asatqam,asatqa-m,4,девушка-acc,asatkan,NOUN,,
asatqan,asatqan,5,девушка,asatkan,NOUN,,
ašatqan,ašatqan,2,девушка,asatkan,NOUN,,
asi,asi,14,женщина,asi,NOUN,,
aši,aši,7,женщина,asi,NOUN,,
asum,asu-m,3,сколько-acc,asun,ADV,,
asuniru,asu-nir-u,2,сколько-indef-acc,asun,ADV,,
asukutkan,asuku=tkan,2,чуть.не=restr,asukut,ADV,,
atlan,at-la-n,2,основание-loc-poss.3sg,at,NOUN,,
attun,at-tu-n,2,основание-dat-poss.3sg,at,NOUN,,
atəkamu,atəka-mu,2,старуха-acc,atikan,NOUN,,
atəkan,atəkan,2,старуха,atikan,NOUN,,
atəllən,atəl-lə-n,2,снять-pst-3sg,ataldaj,VERB,,
atəqam,atəqa-m,2,старуха-acc,atikan,NOUN,,
atəqan,atəqan,9,старуха,atikan,NOUN,,
atəqannə,atəqan-nə,2,старуха-poss.3sg,atikan,NOUN,,
awran,aw-ra-n,2,добавлять-nfut-3sg,awdaj,VERB,,
awaski,awaski,6,куда,awaski,ADV,,
awəški,awəški,5,куда,awaski,ADV,,
awəški-da,awəški=da,3,куда=add,awaski,ADV,,
awəškiwuč,awəški=wuč,2,куда=indef,awaski,ADV,,
awgič,awgič,18,откуда,awgič,ADV,,
awšičami,awši-ča-mi,2,женская.сумка-dim2-poss.refl.sg,awsa,NOUN,,
aγdə,aγdə,3,старший.брат,agdi,NOUN,,
aγdəi,aγdə-i,4,старший.брат-poss.refl.sg,agdi,NOUN,,
baďič,baďi-č,5,ранний-ins,badič,ADV,,
baďikar,baďikar,2,утро,baďikar,NOUN,,
baďiraldə,baďira-l-də,2,ранний-pl-dat,badir,ADJ,,
baďiraldu,baďira-l-du,2,ранний-pl-dat,badir,ADJ,,
badun,badu-⊘-n,5,ехать.верхом-nfut-3sg,badudaj,VERB,,
bagullen,bagu-l-le-n,2,стучать-inch-nfut-3sg,bagudaj,VERB,,
bakra,bak-ra-∅,2,находить-nfut-3pl,baktaj,VERB,,
