word,boundaries,gloss,lemma,POS,,,
,,,,,,Антон,1-100
1,,,,,,Аня,101-200
1.. Oje-tuŋkew,,,,,,Варя,601-700
1.. Ое-победитель,,,,,,Лёша,501-600
,,,,,,Рита,401-500
1..,1..,,,,,Саша,"301-400, 701-800"
Oje,Oje,Ое,Oje,PROPN,,Сева,1623-1723
tuŋkew,tuŋkew,intj,tuŋkew,INTJ,,Таня,201-300
,,,,,,,
,,,,,,Список POS,https://universaldependencies.org/u/pos/
2,,,,,,,
Oje amanun biďenne.,,,,,,,
Очень бедно жили старик и его сын Ое.,,,,,,,
,,,,,,,
Oje,Oje,Ое,Oje,PROPN,,,
amanun,ama-nun,отец-com,ama,NOUN,,,
biďenne,bi-ďe-n-ne-∅,быть-prog-iter-nfut-3pl,bidej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
3,,,,,,,
ďogeďanna.,,,,,,,
Худо им было.,,,,,,,
,,,,,,,
ďogeďanna,ďoge-ďan-na-⊘,бедствовать-dur-nfut-3pl,d'oged'andaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
4,,,,,,,
jami eter.,,,,,,,
Что тут поделаешь?,,,,,,,
,,,,,,,
jami,jami,почему,jami,ADV,,,
eter,e-te-r,neg.aux-fut-3pl,edej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
5,,,,,,,
"orčartan ulaptəten, ŋallə taŋkič.",,,,,,,
Оленей-то у них осталось — можно по пальцам пересчитать.,,,,,,,
,,,,,,,
orčartan,or-ča-r-tan,олень-dim2-pl-poss.3pl,orčan,NOUN,,,
ulaptəten,ula-p-tə-ten,оставить-med-pst-3pl,ulaptaj,VERB,,,
",",,,,PUNCT,,,
ŋallə,ŋal-lə,руки-prol,ŋal,NOUN,,,
taŋkič,taŋ-kič,читать-nmz.hab,taŋkič,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
6,,,,,,,
"bekel unet Ondat, etəken bujusmi elbeteldəwennə, taričte kamug badun.",,,,,,,
"Ну, ещё Ондат, верховой олень, на котором старик ездил на охоту.",,,,,,,
,,,,,,,
bekel,bekel,отдельный,bekel,ADJ,,,
unet,unet,ещё,unet,ADV,,,
Ondat,Ondat,Ондат,Odat,PROPN,,,
",",,,,PUNCT,,,
etəken,etəken,старик,etiken,NOUN,,,
bujusmi,bujus-mi,охотиться-cond.ss,bujustej,VERB,,,
elbeteldəwennə,elbe-te-ldəwen-nə,вести.вперёд-prog-nmz.tool-poss.3sg,elbeteldiwun,NOUN,,,
",",,,,PUNCT,,,
taričte,tari-č=te,dem.dist-ins=add,tarak,PRON,,,
kamug,kamug,старикан,kamug,NOUN,,,
badun,badu-⊘-n,ехать.верхом-nfut-3sg,badudaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
7,,,,,,,
"urep unette ireni bujusmi bisin, čijdun dəknəďi ɲurmebgen.",,,,,,,
"Он же был и отличной приманкой для диких оленей, прячась за которого можно подкрадываться к добыче.",,,,,,,
,,,,,,,
urep,urep,прежний,ɵrep,ADJ,,,
unette,unet=te,ещё=add,unet,ADV,,,
ireni,ireni,,,,,,
bujusmi,bujus-mi,охотиться-cond.ss,bujustej,VERB,,,
bisin,bi-si-n,быть-pst-3sg,bidej,VERB,,,
",",,,,PUNCT,,,
čijdun,čij-du-n,чей-dat-poss.3sg,čij,PRON,,,
dəknəďi,dək-nəďi,спрятаться-ant.sg,diktej,VERB,,,
ɲurmebgen,ɲurmebge-⊘-n,подкрадываться-nfut-3sg,ɲurmebgedej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
8,,,,,,,
omneken kimne nuddewer.,,,,,,,
Собрались они однажды кочевать.,,,,,,,
,,,,,,,
omneken,omneken,однажды,ɵmneken,ADV,,,
kimne,kim-ne-⊘,собираться.в.путь-nfut-3pl,kimdaj,VERB,,,
nuddewer,nud-de-wer,кочевать-purp-poss.refl.pl,nuddej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
9,,,,,,,
etəken tar metun:,,,,,,,
Старик и говорит сыну:,,,,,,,
,,,,,,,
etəken,etəken,старик,etiken,NOUN,,,
tar,tar,dem.dist,tarak,ADV,,,
metun,metu-⊘-n,сообщить-nfut-3sg,metudej,VERB,,,
:,,,,PUNCT,,,
,,,,,,,
,,,,,,,
10,,,,,,,
- otudlə menken.,,,,,,,
— Кочуй один.,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
otudlə,otud-lə,вести.караван-imp,otudaj,VERB,,,
menken,men-ken,refl-dim,menken,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
11,,,,,,,
"bisi dagrit baduďim, koč jawda itčim.",,,,,,,
"А я проедусь, может, что увижу.",,,,,,,
,,,,,,,
bisi,bi=si,я=emph,bi,PRON,,,
dagrit,dagrit,временный,dagrit,ADJ,,,
baduďim,badu-ďi-m,ехать.верхом-fut-1sg,badudaj,VERB,,,
",",,,,PUNCT,,,
koč,koč,наверное,koč,ADV,,,
jawda,ja-w=da,что-acc=add,jak,NOUN,,,
itčim,it-či-m,видеть-fut-1sg,ittej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
12,,,,,,,
"gusete umardun inegďinnə, ulsatla ejelen.",,,,,,,
"Развьючишься там, где орлиное гнездо над яром.",,,,,,,
,,,,,,,
gusete,gusete,орел,gusete,NOUN,,,
umardun,umar-du-n,гнездо-dat-poss.3sg,umar,NOUN,,,
inegďinnə,ineg-ďi-nnə,разгрузить-fut-2sg,inegdej,VERB,,,
",",,,,PUNCT,,,
ulsatla,ulsatla,старый.обвал,ulsatla,NOUN,,,
ejelen,eje-le-n,вершина-loc-poss.3sg,eje,ADP,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
13,,,,,,,
"kamuw, elgesnen tərgemeč Oje kabaralbi asukajač nuktalďi.",,,,,,,
"Ладно, повёл Ое пешком вьючных оленей с нехитрым скарбом.",,,,,,,
,,,,,,,
kamuw,kamuw,ладно,kamuw,ADV,,,
",",,,,PUNCT,,,
elgesnen,elge-sne-⊘-n,увести-mom-nfut-3sg,elgesnedej,VERB,,,
tərgemeč,tərgemeč,пешком,tergemeč,ADV,,,
Oje,Oje,Ое,Oje,PROPN,,,
kabaralbi,kabara-l-bi,кабарга-pl-poss.refl.sg,kabarga,NOUN,,,
asukajač,asukaja-č,нехитрый-ins,asukaja,ADJ,,,
nuktalďi,nukta-l-ďi,пожитки-pl-ins.poss.refl.sg,nukta,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
14,,,,,,,
tačin aran kawjulannə urimkekle taimkančala.,,,,,,,
"Так доплёлся кое-как, не будь дураком, до указанного места.",,,,,,,
,,,,,,,
tačin,tačin,так,tačin,ADV,,,
aran,aran,едва,aran,ADV,,,
kawjulannə,kawjula-n-nə,ковылять-nfut-3sg,kawjuladaj,VERB,,,
urimkekle,urimke-kle,место.отсановки-dloc,ɵrimkin,NOUN,,,
taimkančala,taimkan-ča-la,указать-ptc.pst-loc,taimkandaj,PART,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
15,,,,,,,
"itten, usirle jakitamkerla ajďitta uletle umar.",,,,,,,
"Видит, на старой лиственнице и в самом деле заброшенное гнездо.",,,,,,,
,,,,,,,
itten,it-te-n,видеть-nfut-3sg,ittej,VERB,,,
",",,,,PUNCT,,,
usirle,usir-le,древний-loc,usir,ADJ,,,
jakitamkerla,jakita-mker-la,лиственница-aug.spr-loc,jakita,NOUN,,,
ajďitta,ajďit=ta,правда=add,ajd'it,NOUN,,,
uletle,ule-tle,оставить-nmz.lft,ulatla,NOUN,,,
umar,umar,гнездо,umar,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
16,,,,,,,
"- er, ajďit, edu.",,,,,,,
"— Вот, значит, здесь.",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
er,er,dem.prox,erek,ADV,,,
",",,,,PUNCT,,,
ajďit,ajďit,правда,ajd'it,NOUN,,,
",",,,,PUNCT,,,
edu,e-du,dem.prox-dat,erek,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
17,,,,,,,
murčin ugeski.,,,,,,,
Залез наверх.,,,,,,,
,,,,,,,
murčin,murči-⊘-n,взобраться-nfut-3sg,murčidaj,VERB,,,
ugeski,ugeski,напротив,ugeski,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
18,,,,,,,
tariďit ojčiweďillen tala inučelbi.,,,,,,,
Сразу начал тянуть туда же и оленей.,,,,,,,
,,,,,,,
tariďit,tariďi=t,таким.образом=foc,tarid'i,ADV,,,
ojčiweďillen,ojči-we-ďi-l-le-n,подниматься-ad-prog-inch-nfut-3sg,ojčiwdaj,VERB,,,
tala,ta-la,dem.dist-loc,tarak,ADV,,,
